Yr,Loc,Env,Plot,Trt,Rep,Cult,0,1,2,3,TotalSym,Total Plants ,DI%,DS,DIX,Yieldbushels,Yieldkg
2018,Arlington ,1,105,5,1,1212R2X,30,0,0,0,0,287,0,0,0,81.32,5468.84
2018,Arlington ,1,205,5,2,1212R2X,30,0,0,0,0,290,0,0,0,63.7,4284.08
2018,Arlington ,1,302,5,3,1212R2X,30,0,0,0,0,280,0,0,0,80.77,5431.7
2018,Arlington ,1,401,5,4,1212R2X,30,0,0,0,0,283,0,0,0,77.35,5202.03
2018,Arlington ,1,102,2,1,LS1172LLN,30,0,0,0,0,278,0,0,0,71.04,4777.23
2018,Arlington ,1,203,2,2,LS1172LLN,30,0,0,0,0,282,0,0,0,84.34,5672.08
2018,Arlington ,1,304,2,3,LS1172LLN,30,0,0,0,0,277,0,0,0,65.07,4376.25
2018,Arlington ,1,402,2,4,LS1172LLN,30,0,0,0,0,277,0,0,0,66.35,4462.3
2018,Arlington ,1,101,1,1,LS23X632N,30,0,0,0,0,269,0,0,0,82.25,5531.58
2018,Arlington ,1,204,1,2,LS23X632N,30,0,0,0,0,274,0,0,0,81.65,5491.3
2018,Arlington ,1,301,1,3,LS23X632N,30,0,0,0,0,267,0,0,0,90.08,6057.73
2018,Arlington ,1,405,1,4,LS23X632N,30,0,0,0,0,275,0,0,0,86.39,5809.53
2018,Arlington ,1,103,3,1,3115L,30,0,0,0,0,293,0,0,0,91.71,6167.75
2018,Arlington ,1,202,3,2,3115L,30,0,0,0,0,292,0,0,0,85.64,5759.52
2018,Arlington ,1,305,3,3,3115L,30,0,0,0,0,304,0,0,0,88.8,5971.53
2018,Arlington ,1,404,3,4,3115L,30,0,0,0,0,284,0,0,0,94.51,6355.84
2018,Arlington ,1,104,4,1,WS16-9138,30,0,0,0,0,290,0,0,0,55.8,3752.58
2018,Arlington ,1,201,4,2,WS16-9138,30,0,0,0,0,275,0,0,0,59.94,4030.78
2018,Arlington ,1,303,4,3,WS16-9138,30,0,0,0,0,289,0,0,0,57.68,3878.84
2018,Arlington ,1,403,4,4,WS16-9138,30,0,0,0,0,267,0,0,0,60.84,4091.75
2018,Lewiston,3,105,5,1,1212R2X,30,0,0,0,0,265,0,0,0,80.73,5429.08
2018,Lewiston,3,203,5,2,1212R2X,30,0,0,0,0,254,0,0,0,81.38,5472.67
2018,Lewiston,3,303,5,3,1212R2X,30,0,0,0,0,240,0,0,0,87.21,5864.95
2018,Lewiston,3,401,5,4,1212R2X,30,0,0,0,0,287,0,0,0,80.04,5382.67
2018,Lewiston,3,102,2,1,LS1172LLN,30,0,0,0,0,273,0,0,0,79.5,5346.17
2018,Lewiston,3,204,2,2,LS1172LLN,30,0,0,0,0,240,0,0,0,78.15,5255.7
2018,Lewiston,3,304,2,3,LS1172LLN,30,0,0,0,0,223,0,0,0,75.37,5068.82
2018,Lewiston,3,404,2,4,LS1172LLN,30,0,0,0,0,211,0,0,0,84.29,5668.36
2018,Lewiston,3,101,1,1,LS23X632N,30,0,0,0,0,213,0,0,0,89.34,6008.14
2018,Lewiston,3,205,1,2,LS23X632N,30,0,0,0,0,231,0,0,0,83.81,5635.89
2018,Lewiston,3,305,1,3,LS23X632N,30,0,0,0,0,226,0,0,0,76.82,5166.08
2018,Lewiston,3,405,1,4,LS23X632N,30,0,0,0,0,246,0,0,0,84.94,5712.11
2018,Lewiston,3,103,3,1,3115L,30,0,0,0,0,238,0,0,0,86.06,5787.46
2018,Lewiston,3,202,3,2,3115L,30,0,0,0,0,254,0,0,0,88.54,5954.18
2018,Lewiston,3,301,3,3,3115L,30,0,0,0,0,259,0,0,0,82.7,5561.43
2018,Lewiston,3,402,3,4,3115L,30,0,0,0,0,236,0,0,0,84.57,5687.5
2018,Lewiston,3,104,4,1,WS16-9138,30,0,0,0,0,229,0,0,0,46.09,3099.66
2018,Lewiston,3,201,4,2,WS16-9138,30,0,0,0,0,224,0,0,0,50.06,3366.87
2018,Lewiston,3,302,4,3,WS16-9138,30,0,0,0,0,249,0,0,0,52.07,3501.54
2018,Lewiston,3,403,4,4,WS16-9138,30,0,0,0,0,213,0,0,0,45.66,3070.5
2019,Arlington ,8,105,5,1,1212R2X,30,0,0,0,0,165,0,0,0,68.88,4632.24
2019,Arlington ,8,203,5,2,1212R2X,30,0,0,0,0,194,0,0,0,65.71,4419.1
2019,Arlington ,8,302,5,3,1212R2X,30,0,0,0,0,127,0,0,0,69.77,4692.26
2019,Arlington ,8,405,5,4,1212R2X,30,0,0,0,0,199,0,0,0,70.57,4745.91
