Yr,Loc,Env,Plot,Trt,Rep,Cult,0,1,2,3,TotalSymptomatic,Total Plants ,DI%,DS,DIX,Yieldbushels,Yieldkg
2018,Kanawha,2,101,2,1,LS1172LLN,.,.,.,.,.,.,.,.,.,.,.
2018,Kanawha,2,102,3,1,3115L,.,.,.,.,.,.,.,.,.,.,.
2018,Kanawha,2,103,1,1,LS23X632N,30,0,0,0,0,30,0,0,0,59.15,3977.61
2018,Kanawha,2,104,5,1,1212R2X,29,0,0,1,1,30,3.33,3,3.33,67.65,4549.38
2018,Kanawha,2,105,4,1,WS16-9138,.,.,.,.,.,.,.,.,.,.,.
2018,Kanawha,2,201,3,2,3115L,.,.,.,.,.,.,.,.,.,.,.
2018,Kanawha,2,202,2,2,LS1172LLN,.,.,.,.,.,.,.,.,.,.,.
2018,Kanawha,2,203,5,2,1212R2X,28,0,0,2,2,30,6.67,3,6.67,68.04,4575.47
2018,Kanawha,2,204,4,2,WS16-9138,.,.,.,.,.,.,.,.,.,.,.
2018,Kanawha,2,205,1,2,LS23X632N,30,0,0,0,0,30,0,0,0,60.16,4045.82
2018,Kanawha,2,301,5,3,1212R2X,30,0,0,0,0,30,0,0,0,60.64,4078.05
2018,Kanawha,2,302,1,3,LS23X632N,30,0,0,0,0,30,0,0,0,61.89,4161.94
2018,Kanawha,2,303,3,3,3115L,.,.,.,.,.,.,.,.,.,.,.
2018,Kanawha,2,304,2,3,LS1172LLN,.,.,.,.,.,.,.,.,.,.,.
2018,Kanawha,2,305,4,3,WS16-9138,.,.,.,.,.,.,.,.,.,.,.
2018,Kanawha,2,401,2,4,LS1172LLN,.,.,.,.,.,.,.,.,.,.,.
2018,Kanawha,2,402,4,4,WS16-9138,.,.,.,.,.,.,.,.,.,.,.
2018,Kanawha,2,403,3,4,3115L,.,.,.,.,.,.,.,.,.,.,.
2018,Kanawha,2,404,1,4,LS23X632N,30,0,0,0,0,30,0,0,0,62.52,4204.42
2018,Kanawha,2,405,5,4,1212R2X,30,0,0,0,0,30,0,0,0,67.57,4544.28
2018,Michigan ,4,.,5,4,1212R2X,8,6,3,13,22,30,73.33,2.32,56.67,60.31,4055.93
2018,Michigan ,4,.,5,3,1212R2X,13,4,1,12,17,30,56.67,2.47,46.67,47.15,3171.17
2018,Michigan ,4,.,5,1,1212R2X,26,1,0,3,4,30,13.33,2.5,11.11,55.33,3721.14
2018,Michigan ,4,.,5,2,1212R2X,18,3,0,9,12,30,40,2.5,33.33,56.14,3775.62
2018,Michigan ,4,.,2,3,LS1172LLN,29,1,0,0,1,30,3.33,1,1.11,67.21,4519.92
2018,Michigan ,4,.,2,2,LS1172LLN,28,0,1,1,2,30,6.67,2.5,5.56,57.31,3854.43
2018,Michigan ,4,.,2,4,LS1172LLN,10,3,2,15,20,30,66.67,2.6,57.78,40.08,2695.06
2018,Michigan ,4,.,2,1,LS1172LLN,30,0,0,0,0,30,0,0,0,48.34,3251.12
2018,Michigan ,4,.,1,1,LS23X632N,24,5,1,0,6,30,20,1.17,7.78,48.7,3275.04
2018,Michigan ,4,.,1,3,LS23X632N,17,8,5,0,13,30,43.33,1.38,20,61.12,4110.23
2018,Michigan ,4,.,1,4,LS23X632N,8,11,2,9,22,30,73.33,1.91,46.67,56.54,3802.3
2018,Michigan ,4,.,1,2,LS23X632N,27,1,0,2,3,30,10,2.33,7.78,41.81,2811.5
2018,Michigan ,4,.,3,1,3115L,17,8,1,4,13,30,43.33,1.69,24.44,53.75,3614.86
2018,Michigan ,4,.,3,3,3115L,10,8,4,8,20,30,66.67,2,44.44,31.03,2086.88
2018,Michigan ,4,.,3,2,3115L,26,1,1,2,4,30,13.33,2.25,10,46.69,3139.58
2018,Michigan ,4,.,3,4,3115L,17,4,1,8,13,30,43.33,2.31,33.33,57.74,3883.14
2018,Michigan ,4,.,4,4,WS16-9138,19,7,0,4,11,30,36.67,1.73,21.11,37.03,2490.24
2018,Michigan ,4,.,4,1,WS16-9138,30,0,0,0,0,30,0,0,0,66.93,4501.22
2018,Michigan ,4,.,4,2,WS16-9138,30,0,0,0,0,30,0,0,0,65.28,4390.34
2018,Michigan ,4,.,4,3,WS16-9138,30,0,0,0,0,30,0,0,0,42.75,2874.83
2018,Nashua,5,101,2,1,LS1172LLN,.,.,.,.,.,.,.,.,.,.,.
2018,Nashua,5,102,3,1,3115L,.,.,.,.,.,.,.,.,.,.,.
2018,Nashua,5,103,1,1,LS23X632N,29,1,0,0,1,30,3.33,1,1.11,76.68,5156.47
2018,Nashua,5,104,5,1,1212R2X,30,0,0,0,0,30,0,0,0,76.47,5142.46
2018,Nashua,5,105,4,1,WS16-9138,.,.,.,.,.,.,.,.,.,.,.
2018,Nashua,5,201,3,2,3115L,.,.,.,.,.,.,.,.,.,.,.
2018,Nashua,5,202,2,2,LS1172LLN,.,.,.,.,.,.,.,.,.,.,.
2018,Nashua,5,203,5,2,1212R2X,30,0,0,0,0,30,0,0,0,75.6,5084.34
2018,Nashua,5,204,4,2,WS16-9138,.,.,.,.,.,.,.,.,.,.,.
2018,Nashua,5,205,1,2,LS23X632N,30,0,0,0,0,30,0,0,0,75.37,5068.74
2018,Nashua,5,301,5,3,1212R2X,30,0,0,0,0,30,0,0,0,70.27,4725.97
2018,Nashua,5,302,1,3,LS23X632N,30,0,0,0,0,30,0,0,0,68.86,4630.8
2018,Nashua,5,303,3,3,3115L,.,.,.,.,.,.,.,.,.,.,.
2018,Nashua,5,304,2,3,LS1172LLN,.,.,.,.,.,.,.,.,.,.,.
2018,Nashua,5,305,4,3,WS16-9138,.,.,.,.,.,.,.,.,.,.,.
2018,Nashua,5,401,2,4,LS1172LLN,.,.,.,.,.,.,.,.,.,.,.
2018,Nashua,5,402,4,4,WS16-9138,.,.,.,.,.,.,.,.,.,.,.
2018,Nashua,5,403,3,4,3115L,.,.,.,.,.,.,.,.,.,.,.
2018,Nashua,5,404,1,4,LS23X632N,30,0,0,0,0,30,0,0,0,68.72,4621.55
